4	( ( ( ( ( [MED 8 ) 5 ) ( ( ( ( ( ( [MED 2 ) 3 ) ( ( ( ( ( [MAX 4 ) 4 ) 8 ) 6 ) ] ) ) 9 ) 3 ) ] ) ) 1 ) ] )
1	( ( ( ( ( [SM 8 ) 8 ) 4 ) ( ( ( ( [SM 3 ) 7 ) 1 ) ] ) ) ] )
5	( ( ( ( [MIN 5 ) 8 ) 8 ) ] )
1	( ( ( ( ( ( [MIN 1 ) 6 ) ( ( ( ( ( ( [MAX ( ( ( ( [MIN ( ( ( ( [MAX 7 ) 2 ) 7 ) ] ) ) 0 ) 0 ) ] ) ) 8 ) 2 ) 0 ) 5 ) ] ) ) 3 ) 3 ) ] )
9	( ( ( ( [MAX ( ( ( ( ( ( [MAX ( ( ( ( ( ( [MAX 1 ) 6 ) 9 ) 4 ) 1 ) ] ) ) ( ( ( ( ( ( [MIN 9 ) 6 ) ( ( ( ( [MED ( ( ( [SM 9 ) 0 ) ] ) ) 1 ) 1 ) ] ) ) 0 ) ( ( ( ( [MAX 5 ) 3 ) 1 ) ] ) ) ] ) ) 1 ) 6 ) 8 ) ] ) ) ( ( ( [MED 4 ) 1 ) ] ) ) 6 ) ] )
5	( ( ( ( ( [MED 5 ) 8 ) 5 ) ( ( ( ( ( ( [MED 3 ) 9 ) ( ( ( ( ( ( [SM 4 ) 2 ) ( ( ( ( ( ( [MAX 5 ) 9 ) 2 ) 9 ) ( ( ( ( ( [MAX 7 ) 7 ) 0 ) 0 ) ] ) ) ] ) ) 4 ) 1 ) ] ) ) 9 ) 5 ) ] ) ) ] )
6	( ( ( ( [SM 5 ) 5 ) ( ( ( ( ( ( [MAX ( ( ( ( [SM ( ( ( ( ( ( [MIN 2 ) 1 ) 0 ) 6 ) 6 ) ] ) ) 5 ) 0 ) ] ) ) 6 ) 5 ) 3 ) 5 ) ] ) ) ] )
0	( ( ( ( ( ( [MIN 0 ) 8 ) ( ( ( ( ( [MIN 3 ) 0 ) 5 ) 8 ) ] ) ) 1 ) 0 ) ] )
7	( ( ( ( ( [MAX ( ( ( ( ( ( [MED 3 ) 7 ) ( ( ( [MED ( ( ( [MIN 4 ) 9 ) ] ) ) 1 ) ] ) ) 5 ) 9 ) ] ) ) 1 ) ( ( ( ( [MAX 0 ) 7 ) 6 ) ] ) ) 1 ) ] )
0	( ( ( ( ( [MIN 0 ) ( ( ( ( ( ( [MIN 4 ) ( ( ( [MAX 9 ) 2 ) ] ) ) 6 ) 0 ) ( ( ( ( ( [MED 6 ) 9 ) 1 ) ( ( ( ( ( ( [MIN 2 ) 4 ) 7 ) 1 ) 5 ) ] ) ) ] ) ) ] ) ) ( ( ( [MAX 5 ) 5 ) ] ) ) 1 ) ] )
